Datetime,kobuki_bat,powerbank_bat,position_x,position_y,cpu_usage,ram_usage,completed_service_name,completed_service_duration
15/11/2023 19:52:33.218671,,,0.00844426,-1.106132398,,,,
15/11/2023 19:52:33.221261,,,0.008462681,-1.106005671,,,,
15/11/2023 19:52:33.223846,,,0.008462874,-1.106005682,,,,
15/11/2023 19:52:33.226480,,,0.008473073,-1.10594892,,,,
15/11/2023 19:52:33.348100,,,,,,,,
15/11/2023 19:52:33.348217,,,,,,,,
15/11/2023 19:52:33.352916,76.9697,31.52,,,96.4,8.18737152,,
15/11/2023 19:52:33.999795,,,,,,,,
15/11/2023 19:52:34.387470,,,,,,,/IP_10_3_0_8/trolley_docking_service,26244
15/11/2023 19:52:34.479379,,,,,,,/IP_10_3_0_8/rosping_service,16393
15/11/2023 19:52:34.783440,,,-0.00531404,-1.112885859,,,,
15/11/2023 19:52:34.825866,,,-0.005314035,-1.112885661,,,,
15/11/2023 19:52:34.855638,,,-0.005314024,-1.112885238,,,,
15/11/2023 19:52:34.865669,,,-0.005314012,-1.112884836,,,,
15/11/2023 19:52:34.887663,76.9697,31.52,,,97.2,8.18737152,,
15/11/2023 19:52:34.888503,,,-0.005314008,-1.112884666,,,,
15/11/2023 19:52:34.891112,,,-0.005313999,-1.11288432,,,,
15/11/2023 19:52:34.893739,,,-0.005313989,-1.112883969,,,,
15/11/2023 19:52:34.896355,,,-0.00531396,-1.112882969,,,,
15/11/2023 19:52:34.900610,,,-0.005313955,-1.112882747,,,,
15/11/2023 19:52:34.900956,,,,,,,,
15/11/2023 19:52:34.901225,,,,,,,,
15/11/2023 19:52:34.903801,,,-0.00531394,-1.112882254,,,,
15/11/2023 19:52:35.137927,,,,,,,,
15/11/2023 19:52:35.187984,,,,,,,,
15/11/2023 19:52:35.204245,,,,,,,,
15/11/2023 19:52:35.276577,,,,,,,,
15/11/2023 19:52:35.327006,,,,,,,,
15/11/2023 19:52:35.328864,,,,,,,,
15/11/2023 19:52:35.373596,,,,,,,,
15/11/2023 19:52:35.409914,,,,,,,,
15/11/2023 19:52:35.445078,,,,,,,,
15/11/2023 19:52:35.501097,,,,,,,,
15/11/2023 19:52:35.501658,,,,,,,,
15/11/2023 19:52:35.775216,,,,,,,,
15/11/2023 19:52:36.155933,,,0.00383243,-1.118674308,,,,
15/11/2023 19:52:36.168340,,,0.00383245,-1.118674139,,,,
15/11/2023 19:52:36.169147,,,0.003832458,-1.118674076,,,,
15/11/2023 19:52:36.175702,,,0.003832465,-1.118674015,,,,
15/11/2023 19:52:36.180661,,,0.003832472,-1.118673957,,,,
15/11/2023 19:52:36.183089,,,0.00383249,-1.118673812,,,,
15/11/2023 19:52:36.188161,,,0.003832527,-1.11867351,,,,
15/11/2023 19:52:36.249622,,,0.00383254,-1.118673403,,,,
