Datetime,kobuki_bat,powerbank_bat,position_x,position_y,throughput_upload,throughput_download,cpu_usage,ram_usage,completed_service_name,completed_service_duration
34:35.3,,,1.040261568,1.0849972,,,,,,
34:35.4,,,1.048881348,1.071184765,,,,,,
34:35.4,,,1.056887283,1.0595916,,,,,,
34:35.4,,,1.059651486,1.055844688,,,,,,
34:35.4,,,1.064806629,1.04906399,,,,,,
34:35.4,,,,,9229.882813,,,,,
34:35.4,,,,,,19.10058594,,,,
34:35.4,,,1.069729985,1.042966618,,,,,,
34:35.4,,,1.074585499,1.037401037,,,,,,
34:35.4,,,1.078977592,1.032652681,,,,,,
34:35.4,,,1.083214884,1.028392343,,,,,,
34:35.4,,,1.089116187,1.022876438,,,,,,
34:35.5,,,,,10477.41699,,,,,
34:35.5,,,,,,16.20800781,,,,
34:36.0,,,,,,,,,,
34:37.0,,,,,,,,,,
34:38.0,,,1.157993955,1.108831633,,,,,,
34:38.0,,,,,,,,,,
34:38.2,,,1.157998164,1.108831281,,,,,,
34:38.2,,,,,8646.947266,,,,,
34:38.2,,,,,,28.72167969,,,,
34:38.2,,,1.157999337,1.108831184,,,,,,
34:38.2,,,1.158001825,1.108830976,,,,,,
34:38.2,,,1.158004196,1.108830778,,,,,,
34:38.2,,,1.158009356,1.108830339,,,,,,
34:38.2,,,1.158014361,1.108829913,,,,,,
34:38.2,,,1.158025167,1.108828982,,,,,,
34:38.2,,,1.158029399,1.108828619,,,,,,
34:38.2,,,1.158031405,1.10882845,,,,,,
34:38.3,,,,,6582.662109,,,,,
34:38.3,,,,,,14.78808594,,,,
34:38.3,,,,,6866.557617,,,,,
34:38.3,,,,,,31.53125,,,,
34:39.0,,,,,,,,,,
34:39.1,,,,,,,,,/IP_10_3_0_8/move_robot,9859
34:39.9,,,,,,,,,,
34:40.5,,,1.155467657,1.104258731,,,,,,
34:40.6,88.4848,63.64,,,,,96.4,8.18737152,,
34:40.6,,,1.155468265,1.104258683,,,,,,
34:40.6,,,1.15547024,1.104258522,,,,,,
34:40.6,,,1.155470887,1.10425847,,,,,,
34:40.6,,,1.155470946,1.104258466,,,,,,
34:40.6,,,1.155471544,1.104258418,,,,,,
34:40.6,,,1.155472114,1.104258372,,,,,,
34:40.6,,,1.160222521,1.101578746,,,,,,
34:40.6,,,1.160224574,1.101578544,,,,,,
34:40.6,,,1.160224775,1.101578529,,,,,,
34:40.7,,,,,6582.972656,,,,,
34:40.7,,,,,,40.15429688,,,,
34:40.8,,,,,6169.890625,,,,,
34:40.8,,,,,,39.53710938,,,,
34:40.8,,,,,6727.946289,,,,,
34:40.8,,,,,,15.15136719,,,,
34:41.0,,,,,,,,,,
34:41.3,,,,,,,,,/IP_10_3_0_8/move_camera,2314
34:41.9,,,,,,,,,,
34:42.9,,,1.142337608,1.097132243,,,,,,
34:43.0,,,,,,,,,,
34:43.2,,,,,7071.130859,,,,,
34:43.2,,,,,,19.64746094,,,,
34:43.2,88.4848,63.83,,,,,95.4,8.18737152,,
34:43.2,,,,,6595.012695,,,,,
34:43.2,,,,,,27.36230469,,,,
34:43.2,88.4848,63.83,,,,,100,8.18737152,,
34:43.3,,,1.136987626,1.095063091,,,,,,
34:43.3,,,1.131007731,1.092532833,,,,,,
34:43.4,,,1.124672616,1.089506736,,,,,,
34:43.4,,,1.117814528,1.086061724,,,,,,
34:43.4,,,1.156001625,1.093000395,,,,,,
34:43.4,,,1.14320981,1.088466287,,,,,,
34:43.4,,,1.128344039,1.082368452,,,,,,
34:43.4,,,1.123323339,1.08012952,,,,,,
34:43.4,,,1.112760287,1.075126721,,,,,,
34:44.0,,,,,,,,,,
34:44.9,,,,,,,,,,
34:45.1,,,0.557037338,0.417491622,,,,,,
34:45.1,,,0.539778832,0.396464338,,,,,,
34:45.1,,,0.514572786,0.365613189,,,,,,
34:45.2,,,0.489324438,0.334439503,,,,,,
34:45.2,,,0.48112384,0.3242766,,,,,,
34:45.2,,,0.46443581,0.30356827,,,,,,
34:45.2,,,0.44782471,0.282922009,,,,,,
34:45.2,,,0.431272833,0.262298856,,,,,,
34:45.2,,,0.414739002,0.241645635,,,,,,
34:45.2,,,0.398250631,0.220970207,,,,,,
34:45.2,,,,,6590.43457,,,,,
34:45.2,,,,,,32.17773438,,,,
34:45.3,,,,,6954.665039,,,,,
34:45.3,,,,,,26.61523438,,,,
34:45.9,,,,,,,,,,
34:46.9,,,,,,,,,,
34:47.2,,,0.084955159,-0.240966655,,,,,,
34:47.2,,,0.08564968,-0.236749887,,,,,,
34:47.2,,,0.086662222,-0.229806944,,,,,,
34:47.2,,,0.087487637,-0.224603093,,,,,,
34:47.2,,,0.087641665,-0.223294832,,,,,,
34:47.2,,,0.087943037,-0.22139911,,,,,,
34:47.3,,,0.088171061,-0.219637921,,,,,,
34:47.3,,,,,9650.243164,,,,,
34:47.3,,,,,,37.90136719,,,,
